dataset,model,seed,mode,method,optimism,n_cert,n_cert_minority,test_per_class,cls,covered,U,delta,nominal
Abalone Gender,Linear,0,split,CP Sum,0.0,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,Linear,0,split,CP Minimax,0.0,294,27,764,0,1.0,0.681312255493296,0.0214894947473736,0.9785105052526264
Abalone Gender,Linear,0,split,DKW Sum,0.0,294,27,764,0,1.0,0.0919038908480928,0.0109947473736868,0.9890052526263132
Abalone Gender,Linear,0,split,DKW Minimax,0.0,294,27,764,0,1.0,0.6205599671370681,0.0294854927463731,0.9705145072536269
Abalone Gender,Linear,1,naive,CP Sum,0.0,840,76,764,0,1.0,0.0170551110583493,0.0014994997498749,0.998500500250125
Abalone Gender,Linear,1,naive,CP Minimax,0.0,840,76,764,0,1.0,0.568929887125778,0.0089957478739369,0.9910042521260631
Abalone Gender,Linear,1,naive,DKW Sum,0.0,840,76,764,0,1.0,0.1577729259686597,0.006996748374187,0.993003251625813
Abalone Gender,Linear,1,naive,DKW Minimax,0.0,840,76,764,0,1.0,0.5376079697637098,0.0129937468734367,0.9870062531265633
Abalone Gender,Linear,1,split,CP Sum,0.0,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,Linear,1,split,CP Minimax,0.0,294,27,764,0,1.0,0.6327289684729979,0.0189907453726863,0.9810092546273137
Abalone Gender,Linear,1,split,DKW Sum,0.0,294,27,764,0,1.0,0.0919038908480928,0.0109947473736868,0.9890052526263132
Abalone Gender,Linear,1,split,DKW Minimax,0.0,294,27,764,0,1.0,0.5988932552745446,0.0274864932466233,0.9725135067533767
Abalone Gender,Linear,2,naive,CP Sum,0.0,840,76,764,0,1.0,0.0170551110583493,0.0014994997498749,0.998500500250125
Abalone Gender,Linear,2,naive,CP Minimax,0.0,840,76,764,0,1.0,0.5495077852231749,0.0089957478739369,0.9910042521260631
Abalone Gender,Linear,2,naive,DKW Sum,0.0,840,76,764,0,0.0,0.631484996892551,0.0169917458729364,0.9830082541270636
Abalone Gender,Linear,2,naive,DKW Minimax,0.0,840,76,764,0,1.0,0.5258278650516679,0.0129937468734367,0.9870062531265633
Abalone Gender,Linear,2,split,CP Sum,0.0,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,Linear,2,split,CP Minimax,0.0,294,27,764,0,1.0,0.5936123027960156,0.0174914957478739,0.9825085042521261
Abalone Gender,Linear,2,split,DKW Sum,0.0,294,27,764,0,1.0,0.4820650946255476,0.0209897448724362,0.9790102551275638
Abalone Gender,Linear,2,split,DKW Minimax,0.0,294,27,764,0,1.0,0.5442527260140629,0.023988244122061,0.976011755877939
Abalone Gender,Linear,3,naive,CP Sum,0.0,840,76,764,0,1.0,0.0170551110583493,0.0014994997498749,0.998500500250125
Abalone Gender,Linear,3,naive,CP Minimax,0.0,840,76,764,0,1.0,0.5854524760564837,0.0094954977488744,0.9905045022511256
Abalone Gender,Linear,3,naive,DKW Sum,0.0,840,76,764,0,1.0,0.4200846661557822,0.0099952476238119,0.9900047523761881
Abalone Gender,Linear,3,naive,DKW Minimax,0.0,840,76,764,0,1.0,0.5376079697637098,0.0129937468734367,0.9870062531265633
Abalone Gender,Linear,3,split,CP Sum,0.0,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,Linear,3,split,CP Minimax,0.0,294,27,764,0,1.0,0.6043124634347702,0.0179912456228114,0.9820087543771886
Abalone Gender,Linear,3,split,DKW Sum,0.0,294,27,764,0,1.0,0.5733137017597253,0.0259872436218109,0.9740127563781891
Abalone Gender,Linear,3,split,DKW Minimax,0.0,294,27,764,0,1.0,0.5697880023573093,0.0254874937468734,0.9745125062531266
Abalone Gender,Linear,4,naive,CP Sum,0.0,840,76,764,0,1.0,0.0170551110583493,0.0014994997498749,0.998500500250125
